Ticker,CIK,Form Type,Filing Date,Accession Number,URL
GOOGL,0001652044,10-Q,2024-04-26,0001652044-24-000053,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/0001652044-24-000053.txt
TMUS,0001283699,10-Q,2024-04-26,0001283699-24-000065,https://www.sec.gov/Archives/edgar/data/1283699/000128369924000065/0001283699-24-000065.txt
PM,0001413329,10-Q,2024-04-26,0001413329-24-000087,https://www.sec.gov/Archives/edgar/data/1413329/000141332924000087/0001413329-24-000087.txt
MSFT,0000789019,10-Q,2024-04-25,0000950170-24-048288,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/0000950170-24-048288.txt
META,0001326801,10-Q,2024-04-25,0001326801-24-000049,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000049/0001326801-24-000049.txt
TSLA,0001318605,10-Q,2024-04-24,0001628280-24-017503,https://www.sec.gov/Archives/edgar/data/1318605/000162828024017503/0001628280-24-017503.txt
V,0001403161,10-Q,2024-04-24,0001403161-24-000030,https://www.sec.gov/Archives/edgar/data/1403161/000140316124000030/0001403161-24-000030.txt
GE,0000040545,10-Q,2024-04-23,0000040545-24-000113,https://www.sec.gov/Archives/edgar/data/40545/000004054524000113/0000040545-24-000113.txt
NFLX,0001065280,10-Q,2024-04-22,0001065280-24-000128,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000128/0001065280-24-000128.txt
PG,0000080424,10-Q,2024-04-19,0000080424-24-000051,https://www.sec.gov/Archives/edgar/data/80424/000008042424000051/0000080424-24-000051.txt
AXP,0000004962,10-Q,2024-04-19,0000004962-24-000031,https://www.sec.gov/Archives/edgar/data/4962/000000496224000031/0000004962-24-000031.txt
AVGO,0001730168,10-Q,2024-03-14,0001730168-24-000023,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000023/0001730168-24-000023.txt
COST,0000909832,10-Q,2024-03-13,0000909832-24-000017,https://www.sec.gov/Archives/edgar/data/909832/000090983224000017/0000909832-24-000017.txt
ORCL,0001341439,10-Q,2024-03-12,0000950170-24-029904,https://www.sec.gov/Archives/edgar/data/1341439/000095017024029904/0000950170-24-029904.txt
CSCO,0000858877,10-Q,2024-02-20,0000858877-24-000003,https://www.sec.gov/Archives/edgar/data/858877/000085887724000003/0000858877-24-000003.txt
AAPL,0000320193,10-Q,2024-02-02,0000320193-24-000006,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/0000320193-24-000006.txt
MSFT,0000789019,10-Q,2024-01-30,0000950170-24-008814,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/0000950170-24-008814.txt
V,0001403161,10-Q,2024-01-26,0001403161-24-000016,https://www.sec.gov/Archives/edgar/data/1403161/000140316124000016/0001403161-24-000016.txt
PG,0000080424,10-Q,2024-01-23,0000080424-24-000018,https://www.sec.gov/Archives/edgar/data/80424/000008042424000018/0000080424-24-000018.txt
COST,0000909832,10-Q,2023-12-20,0000909832-23-000065,https://www.sec.gov/Archives/edgar/data/909832/000090983223000065/0000909832-23-000065.txt
ORCL,0001341439,10-Q,2023-12-12,0000950170-23-069682,https://www.sec.gov/Archives/edgar/data/1341439/000095017023069682/0000950170-23-069682.txt
WMT,0000104169,10-Q,2023-11-30,0000104169-23-000132,https://www.sec.gov/Archives/edgar/data/104169/000010416923000132/0000104169-23-000132.txt
CRM,0001108524,10-Q,2023-11-30,0001108524-23-000048,https://www.sec.gov/Archives/edgar/data/1108524/000110852423000048/0001108524-23-000048.txt
NVDA,0001045810,10-Q,2023-11-21,0001045810-23-000227,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/0001045810-23-000227.txt
HD,0000354950,10-Q,2023-11-21,0000354950-23-000240,https://www.sec.gov/Archives/edgar/data/354950/000035495023000240/0000354950-23-000240.txt
CSCO,0000858877,10-Q,2023-11-21,0000858877-23-000031,https://www.sec.gov/Archives/edgar/data/858877/000085887723000031/0000858877-23-000031.txt
APP,0001751008,10-Q,2023-11-08,0001751008-23-000072,https://www.sec.gov/Archives/edgar/data/1751008/000175100823000072/0001751008-23-000072.txt
BRK-B,0001067983,10-Q,2023-11-06,0000950170-23-058993,https://www.sec.gov/Archives/edgar/data/1067983/000095017023058993/0000950170-23-058993.txt
ABBV,0001551152,10-Q,2023-11-06,0001551152-23-000045,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000045/0001551152-23-000045.txt
UNH,0000731766,10-Q,2023-11-06,0000731766-23-000064,https://www.sec.gov/Archives/edgar/data/731766/000073176623000064/0000731766-23-000064.txt
PLTR,0001321655,10-Q,2023-11-03,0001321655-23-000118,https://www.sec.gov/Archives/edgar/data/1321655/000132165523000118/0001321655-23-000118.txt
LLY,0000059478,10-Q,2023-11-02,0000059478-23-000284,https://www.sec.gov/Archives/edgar/data/59478/000005947823000284/0000059478-23-000284.txt
CVX,0000093410,10-Q,2023-11-02,0000093410-23-000088,https://www.sec.gov/Archives/edgar/data/93410/000009341023000088/0000093410-23-000088.txt
AMD,0000002488,10-Q,2023-11-01,0000002488-23-000195,https://www.sec.gov/Archives/edgar/data/2488/000000248823000195/0000002488-23-000195.txt
ABT,0000001800,10-Q,2023-11-01,0001628280-23-035957,https://www.sec.gov/Archives/edgar/data/1800/000162828023035957/0001628280-23-035957.txt
XOM,0000034088,10-Q,2023-10-31,0000034088-23-000056,https://www.sec.gov/Archives/edgar/data/34088/000003408823000056/0000034088-23-000056.txt
WFC,0000072971,10-Q,2023-10-31,0000072971-23-000170,https://www.sec.gov/Archives/edgar/data/72971/000007297123000170/0000072971-23-000170.txt
IBM,0000051143,10-Q,2023-10-31,0000051143-23-000032,https://www.sec.gov/Archives/edgar/data/51143/000005114323000032/0000051143-23-000032.txt
AMZN,0001018724,10-Q,2023-10-27,0001018724-23-000018,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/0001018724-23-000018.txt
JNJ,0000200406,10-Q,2023-10-27,0000200406-23-000102,https://www.sec.gov/Archives/edgar/data/200406/000020040623000102/0000200406-23-000102.txt
MA,0001141391,10-Q,2023-10-26,0001141391-23-000157,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000157/0001141391-23-000157.txt
PM,0001413329,10-Q,2023-10-26,0001413329-23-000201,https://www.sec.gov/Archives/edgar/data/1413329/000141332923000201/0001413329-23-000201.txt
GOOGL,0001652044,10-Q,2023-10-25,0001652044-23-000094,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/0001652044-23-000094.txt
TMUS,0001283699,10-Q,2023-10-25,0001283699-23-000151,https://www.sec.gov/Archives/edgar/data/1283699/000128369923000151/0001283699-23-000151.txt
MSFT,0000789019,10-Q,2023-10-24,0000950170-23-054855,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/0000950170-23-054855.txt
GE,0000040545,10-Q,2023-10-24,0000040545-23-000238,https://www.sec.gov/Archives/edgar/data/40545/000004054523000238/0000040545-23-000238.txt
KO,0000021344,10-Q,2023-10-24,0000021344-23-000060,https://www.sec.gov/Archives/edgar/data/21344/000002134423000060/0000021344-23-000060.txt
TSLA,0001318605,10-Q,2023-10-23,0001628280-23-034847,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034847/0001628280-23-034847.txt
NFLX,0001065280,10-Q,2023-10-20,0001065280-23-000273,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000273/0001065280-23-000273.txt
AXP,0000004962,10-Q,2023-10-20,0000004962-23-000038,https://www.sec.gov/Archives/edgar/data/4962/000000496223000038/0000004962-23-000038.txt
PG,0000080424,10-Q,2023-10-18,0000080424-23-000103,https://www.sec.gov/Archives/edgar/data/80424/000008042423000103/0000080424-23-000103.txt
ORCL,0001341439,10-Q,2023-09-12,0000950170-23-047713,https://www.sec.gov/Archives/edgar/data/1341439/000095017023047713/0000950170-23-047713.txt
AVGO,0001730168,10-Q,2023-09-06,0001730168-23-000077,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000077/0001730168-23-000077.txt
WMT,0000104169,10-Q,2023-09-01,0000104169-23-000097,https://www.sec.gov/Archives/edgar/data/104169/000010416923000097/0000104169-23-000097.txt
CRM,0001108524,10-Q,2023-08-31,0001108524-23-000040,https://www.sec.gov/Archives/edgar/data/1108524/000110852423000040/0001108524-23-000040.txt
NVDA,0001045810,10-Q,2023-08-28,0001045810-23-000175,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/0001045810-23-000175.txt
HD,0000354950,10-Q,2023-08-22,0000354950-23-000185,https://www.sec.gov/Archives/edgar/data/354950/000035495023000185/0000354950-23-000185.txt
APP,0001751008,10-Q,2023-08-09,0001751008-23-000062,https://www.sec.gov/Archives/edgar/data/1751008/000175100823000062/0001751008-23-000062.txt
LLY,0000059478,10-Q,2023-08-08,0000059478-23-000221,https://www.sec.gov/Archives/edgar/data/59478/000005947823000221/0000059478-23-000221.txt
PLTR,0001321655,10-Q,2023-08-08,0001321655-23-000090,https://www.sec.gov/Archives/edgar/data/1321655/000132165523000090/0001321655-23-000090.txt
BRK-B,0001067983,10-Q,2023-08-07,0000950170-23-038705,https://www.sec.gov/Archives/edgar/data/1067983/000095017023038705/0000950170-23-038705.txt
ABBV,0001551152,10-Q,2023-08-07,0001551152-23-000033,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000033/0001551152-23-000033.txt
AAPL,0000320193,10-Q,2023-08-04,0000320193-23-000077,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/0000320193-23-000077.txt
AMZN,0001018724,10-Q,2023-08-04,0001018724-23-000012,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/0001018724-23-000012.txt
WFC,0000072971,10-Q/A,2023-08-04,0000072971-23-000142,https://www.sec.gov/Archives/edgar/data/72971/000007297123000142/0000072971-23-000142.txt
CVX,0000093410,10-Q,2023-08-03,0000093410-23-000079,https://www.sec.gov/Archives/edgar/data/93410/000009341023000079/0000093410-23-000079.txt
ABT,0000001800,10-Q,2023-08-03,0001628280-23-027203,https://www.sec.gov/Archives/edgar/data/1800/000162828023027203/0001628280-23-027203.txt
UNH,0000731766,10-Q,2023-08-02,0000731766-23-000053,https://www.sec.gov/Archives/edgar/data/731766/000073176623000053/0000731766-23-000053.txt
AMD,0000002488,10-Q,2023-08-02,0000002488-23-000139,https://www.sec.gov/Archives/edgar/data/2488/000000248823000139/0000002488-23-000139.txt
XOM,0000034088,10-Q,2023-08-01,0000034088-23-000048,https://www.sec.gov/Archives/edgar/data/34088/000003408823000048/0000034088-23-000048.txt
WFC,0000072971,10-Q,2023-08-01,0000072971-23-000138,https://www.sec.gov/Archives/edgar/data/72971/000007297123000138/0000072971-23-000138.txt
JNJ,0000200406,10-Q,2023-07-31,0000200406-23-000082,https://www.sec.gov/Archives/edgar/data/200406/000020040623000082/0000200406-23-000082.txt
MA,0001141391,10-Q,2023-07-27,0001141391-23-000131,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000131/0001141391-23-000131.txt
TMUS,0001283699,10-Q,2023-07-27,0001283699-23-000134,https://www.sec.gov/Archives/edgar/data/1283699/000128369923000134/0001283699-23-000134.txt
KO,0000021344,10-Q,2023-07-27,0000021344-23-000048,https://www.sec.gov/Archives/edgar/data/21344/000002134423000048/0000021344-23-000048.txt
PM,0001413329,10-Q,2023-07-27,0001413329-23-000176,https://www.sec.gov/Archives/edgar/data/1413329/000141332923000176/0001413329-23-000176.txt
GOOGL,0001652044,10-Q,2023-07-26,0001652044-23-000070,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/0001652044-23-000070.txt
V,0001403161,10-Q,2023-07-26,0001403161-23-000072,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000072/0001403161-23-000072.txt
GE,0000040545,10-Q,2023-07-25,0000040545-23-000198,https://www.sec.gov/Archives/edgar/data/40545/000004054523000198/0000040545-23-000198.txt
IBM,0000051143,10-Q,2023-07-25,0000051143-23-000021,https://www.sec.gov/Archives/edgar/data/51143/000005114323000021/0000051143-23-000021.txt
AXP,0000004962,10-Q,2023-07-25,0000004962-23-000028,https://www.sec.gov/Archives/edgar/data/4962/000000496223000028/0000004962-23-000028.txt
TSLA,0001318605,10-Q,2023-07-24,0000950170-23-033872,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033872/0000950170-23-033872.txt
NFLX,0001065280,10-Q,2023-07-21,0001065280-23-000198,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000198/0001065280-23-000198.txt
AVGO,0001730168,10-Q,2023-06-07,0001730168-23-000064,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000064/0001730168-23-000064.txt
WMT,0000104169,10-Q,2023-06-02,0000104169-23-000052,https://www.sec.gov/Archives/edgar/data/104169/000010416923000052/0000104169-23-000052.txt
COST,0000909832,10-Q,2023-06-01,0000909832-23-000028,https://www.sec.gov/Archives/edgar/data/909832/000090983223000028/0000909832-23-000028.txt
CRM,0001108524,10-Q,2023-06-01,0001108524-23-000023,https://www.sec.gov/Archives/edgar/data/1108524/000110852423000023/0001108524-23-000023.txt
NVDA,0001045810,10-Q,2023-05-26,0001045810-23-000093,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/0001045810-23-000093.txt
CSCO,0000858877,10-Q,2023-05-24,0000858877-23-000013,https://www.sec.gov/Archives/edgar/data/858877/000085887723000013/0000858877-23-000013.txt
HD,0000354950,10-Q,2023-05-23,0000354950-23-000144,https://www.sec.gov/Archives/edgar/data/354950/000035495023000144/0000354950-23-000144.txt
APP,0001751008,10-Q,2023-05-10,0001751008-23-000048,https://www.sec.gov/Archives/edgar/data/1751008/000175100823000048/0001751008-23-000048.txt
PLTR,0001321655,10-Q,2023-05-09,0001321655-23-000044,https://www.sec.gov/Archives/edgar/data/1321655/000132165523000044/0001321655-23-000044.txt
BRK-B,0001067983,10-Q,2023-05-08,0000950170-23-018438,https://www.sec.gov/Archives/edgar/data/1067983/000095017023018438/0000950170-23-018438.txt
AAPL,0000320193,10-Q,2023-05-05,0000320193-23-000064,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/0000320193-23-000064.txt
ABBV,0001551152,10-Q,2023-05-05,0001551152-23-000023,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000023/0001551152-23-000023.txt
CVX,0000093410,10-Q,2023-05-04,0000093410-23-000066,https://www.sec.gov/Archives/edgar/data/93410/000009341023000066/0000093410-23-000066.txt
ABT,0000001800,10-Q,2023-05-04,0001628280-23-015699,https://www.sec.gov/Archives/edgar/data/1800/000162828023015699/0001628280-23-015699.txt
UNH,0000731766,10-Q,2023-05-03,0000731766-23-000029,https://www.sec.gov/Archives/edgar/data/731766/000073176623000029/0000731766-23-000029.txt
AMD,0000002488,10-Q,2023-05-03,0000002488-23-000076,https://www.sec.gov/Archives/edgar/data/2488/000000248823000076/0000002488-23-000076.txt
XOM,0000034088,10-Q,2023-05-02,0000034088-23-000030,https://www.sec.gov/Archives/edgar/data/34088/000003408823000030/0000034088-23-000030.txt
AMZN,0001018724,10-Q,2023-04-28,0001018724-23-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/0001018724-23-000008.txt
JNJ,0000200406,10-Q,2023-04-28,0000200406-23-000056,https://www.sec.gov/Archives/edgar/data/200406/000020040623000056/0000200406-23-000056.txt
V,0001403161,10-Q,2023-04-27,0001403161-23-000031,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000031/0001403161-23-000031.txt
LLY,0000059478,10-Q,2023-04-27,0000059478-23-000162,https://www.sec.gov/Archives/edgar/data/59478/000005947823000162/0000059478-23-000162.txt
MA,0001141391,10-Q,2023-04-27,0001141391-23-000059,https://www.sec.gov/Archives/edgar/data/1141391/000114139123000059/0001141391-23-000059.txt
TMUS,0001283699,10-Q,2023-04-27,0001283699-23-000087,https://www.sec.gov/Archives/edgar/data/1283699/000128369923000087/0001283699-23-000087.txt
GOOGL,0001652044,10-Q,2023-04-26,0001652044-23-000045,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/0001652044-23-000045.txt
KO,0000021344,10-Q,2023-04-26,0000021344-23-000024,https://www.sec.gov/Archives/edgar/data/21344/000002134423000024/0000021344-23-000024.txt
PM,0001413329,10-Q,2023-04-26,0001413329-23-000117,https://www.sec.gov/Archives/edgar/data/1413329/000141332923000117/0001413329-23-000117.txt
MSFT,0000789019,10-Q,2023-04-25,0000950170-23-014423,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423.txt
GE,0000040545,10-Q,2023-04-25,0000040545-23-000136,https://www.sec.gov/Archives/edgar/data/40545/000004054523000136/0000040545-23-000136.txt
IBM,0000051143,10-Q,2023-04-25,0001558370-23-006656,https://www.sec.gov/Archives/edgar/data/51143/000155837023006656/0001558370-23-006656.txt
TSLA,0001318605,10-Q,2023-04-24,0000950170-23-013890,https://www.sec.gov/Archives/edgar/data/1318605/000095017023013890/0000950170-23-013890.txt
NFLX,0001065280,10-Q,2023-04-21,0001065280-23-000120,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000120/0001065280-23-000120.txt
PG,0000080424,10-Q,2023-04-21,0000080424-23-000046,https://www.sec.gov/Archives/edgar/data/80424/000008042423000046/0000080424-23-000046.txt
AXP,0000004962,10-Q,2023-04-21,0000004962-23-000016,https://www.sec.gov/Archives/edgar/data/4962/000000496223000016/0000004962-23-000016.txt
ORCL,0001341439,10-Q,2023-03-10,0001564590-23-003413,https://www.sec.gov/Archives/edgar/data/1341439/000156459023003413/0001564590-23-003413.txt
COST,0000909832,10-Q,2023-03-09,0000909832-23-000014,https://www.sec.gov/Archives/edgar/data/909832/000090983223000014/0000909832-23-000014.txt
AVGO,0001730168,10-Q,2023-03-08,0001730168-23-000008,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000008/0001730168-23-000008.txt
CSCO,0000858877,10-Q,2023-02-21,0000858877-23-000005,https://www.sec.gov/Archives/edgar/data/858877/000085887723000005/0000858877-23-000005.txt
AAPL,0000320193,10-Q,2023-02-03,0000320193-23-000006,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/0000320193-23-000006.txt
V,0001403161,10-Q,2023-01-27,0001403161-23-000013,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000013/0001403161-23-000013.txt
MSFT,0000789019,10-Q,2023-01-24,0001564590-23-000733,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/0001564590-23-000733.txt
PG,0000080424,10-Q,2023-01-19,0000080424-23-000014,https://www.sec.gov/Archives/edgar/data/80424/000008042423000014/0000080424-23-000014.txt
COST,0000909832,10-Q,2022-12-29,0000909832-22-000035,https://www.sec.gov/Archives/edgar/data/909832/000090983222000035/0000909832-22-000035.txt
ORCL,0001341439,10-Q,2022-12-13,0001564590-22-039278,https://www.sec.gov/Archives/edgar/data/1341439/000156459022039278/0001564590-22-039278.txt
WMT,0000104169,10-Q,2022-12-01,0000104169-22-000083,https://www.sec.gov/Archives/edgar/data/104169/000010416922000083/0000104169-22-000083.txt
HD,0000354950,10-Q,2022-11-22,0000354950-22-000239,https://www.sec.gov/Archives/edgar/data/354950/000035495022000239/0000354950-22-000239.txt
CSCO,0000858877,10-Q,2022-11-22,0000858877-22-000025,https://www.sec.gov/Archives/edgar/data/858877/000085887722000025/0000858877-22-000025.txt
NVDA,0001045810,10-Q,2022-11-18,0001045810-22-000166,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000166/0001045810-22-000166.txt
APP,0001751008,10-Q,2022-11-10,0001751008-22-000020,https://www.sec.gov/Archives/edgar/data/1751008/000175100822000020/0001751008-22-000020.txt
BRK-B,0001067983,10-Q,2022-11-07,0000950170-22-022287,https://www.sec.gov/Archives/edgar/data/1067983/000095017022022287/0000950170-22-022287.txt
PLTR,0001321655,10-Q,2022-11-07,0001321655-22-000032,https://www.sec.gov/Archives/edgar/data/1321655/000132165522000032/0001321655-22-000032.txt
ABBV,0001551152,10-Q,2022-11-04,0001551152-22-000045,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000045/0001551152-22-000045.txt
CVX,0000093410,10-Q,2022-11-03,0000093410-22-000075,https://www.sec.gov/Archives/edgar/data/93410/000009341022000075/0000093410-22-000075.txt
XOM,0000034088,10-Q,2022-11-02,0000034088-22-000064,https://www.sec.gov/Archives/edgar/data/34088/000003408822000064/0000034088-22-000064.txt
UNH,0000731766,10-Q,2022-11-02,0000731766-22-000044,https://www.sec.gov/Archives/edgar/data/731766/000073176622000044/0000731766-22-000044.txt
AMD,0000002488,10-Q,2022-11-02,0000002488-22-000170,https://www.sec.gov/Archives/edgar/data/2488/000000248822000170/0000002488-22-000170.txt
LLY,0000059478,10-Q,2022-11-01,0000059478-22-000250,https://www.sec.gov/Archives/edgar/data/59478/000005947822000250/0000059478-22-000250.txt
ABT,0000001800,10-Q,2022-11-01,0001628280-22-027550,https://www.sec.gov/Archives/edgar/data/1800/000162828022027550/0001628280-22-027550.txt
AMZN,0001018724,10-Q,2022-10-28,0001018724-22-000023,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000023/0001018724-22-000023.txt
MA,0001141391,10-Q,2022-10-27,0001141391-22-000163,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000163/0001141391-22-000163.txt
JNJ,0000200406,10-Q,2022-10-27,0000200406-22-000086,https://www.sec.gov/Archives/edgar/data/200406/000020040622000086/0000200406-22-000086.txt
TMUS,0001283699,10-Q,2022-10-27,0001283699-22-000141,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000141/0001283699-22-000141.txt
PM,0001413329,10-Q,2022-10-27,0001413329-22-000114,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000114/0001413329-22-000114.txt
GOOGL,0001652044,10-Q,2022-10-26,0001652044-22-000090,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000090/0001652044-22-000090.txt
KO,0000021344,10-Q,2022-10-26,0000021344-22-000042,https://www.sec.gov/Archives/edgar/data/21344/000002134422000042/0000021344-22-000042.txt
MSFT,0000789019,10-Q,2022-10-25,0001564590-22-035087,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/0001564590-22-035087.txt
GE,0000040545,10-Q,2022-10-25,0000040545-22-000060,https://www.sec.gov/Archives/edgar/data/40545/000004054522000060/0000040545-22-000060.txt
IBM,0000051143,10-Q,2022-10-25,0001558370-22-015322,https://www.sec.gov/Archives/edgar/data/51143/000155837022015322/0001558370-22-015322.txt
TSLA,0001318605,10-Q,2022-10-24,0000950170-22-019867,https://www.sec.gov/Archives/edgar/data/1318605/000095017022019867/0000950170-22-019867.txt
AXP,0000004962,10-Q,2022-10-21,0000004962-22-000054,https://www.sec.gov/Archives/edgar/data/4962/000000496222000054/0000004962-22-000054.txt
NFLX,0001065280,10-Q,2022-10-20,0001065280-22-000368,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000368/0001065280-22-000368.txt
PG,0000080424,10-Q,2022-10-19,0000080424-22-000102,https://www.sec.gov/Archives/edgar/data/80424/000008042422000102/0000080424-22-000102.txt
ORCL,0001341439,10-Q,2022-09-13,0001564590-22-031545,https://www.sec.gov/Archives/edgar/data/1341439/000156459022031545/0001564590-22-031545.txt
AVGO,0001730168,10-Q,2022-09-08,0001730168-22-000094,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000094/0001730168-22-000094.txt
WMT,0000104169,10-Q,2022-09-02,0000104169-22-000072,https://www.sec.gov/Archives/edgar/data/104169/000010416922000072/0000104169-22-000072.txt
NVDA,0001045810,10-Q,2022-08-31,0001045810-22-000147,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/0001045810-22-000147.txt
HD,0000354950,10-Q,2022-08-23,0000354950-22-000193,https://www.sec.gov/Archives/edgar/data/354950/000035495022000193/0000354950-22-000193.txt
APP,0001751008,10-Q,2022-08-12,0001751008-22-000016,https://www.sec.gov/Archives/edgar/data/1751008/000175100822000016/0001751008-22-000016.txt
BRK-B,0001067983,10-Q,2022-08-08,0001564590-22-028282,https://www.sec.gov/Archives/edgar/data/1067983/000156459022028282/0001564590-22-028282.txt
PLTR,0001321655,10-Q,2022-08-08,0001321655-22-000016,https://www.sec.gov/Archives/edgar/data/1321655/000132165522000016/0001321655-22-000016.txt
LLY,0000059478,10-Q,2022-08-04,0000059478-22-000196,https://www.sec.gov/Archives/edgar/data/59478/000005947822000196/0000059478-22-000196.txt
ABBV,0001551152,10-Q,2022-08-04,0001551152-22-000030,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000030/0001551152-22-000030.txt
CVX,0000093410,10-Q,2022-08-04,0000093410-22-000066,https://www.sec.gov/Archives/edgar/data/93410/000009341022000066/0000093410-22-000066.txt
XOM,0000034088,10-Q,2022-08-03,0000034088-22-000051,https://www.sec.gov/Archives/edgar/data/34088/000003408822000051/0000034088-22-000051.txt
UNH,0000731766,10-Q,2022-08-03,0000731766-22-000036,https://www.sec.gov/Archives/edgar/data/731766/000073176622000036/0000731766-22-000036.txt
AMD,0000002488,10-Q,2022-08-03,0000002488-22-000123,https://www.sec.gov/Archives/edgar/data/2488/000000248822000123/0000002488-22-000123.txt
ABT,0000001800,10-Q,2022-08-02,0001628280-22-020209,https://www.sec.gov/Archives/edgar/data/1800/000162828022020209/0001628280-22-020209.txt
AAPL,0000320193,10-Q,2022-07-29,0000320193-22-000070,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/0000320193-22-000070.txt
AMZN,0001018724,10-Q,2022-07-29,0001018724-22-000019,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000019/0001018724-22-000019.txt
JNJ,0000200406,10-Q,2022-07-29,0000200406-22-000071,https://www.sec.gov/Archives/edgar/data/200406/000020040622000071/0000200406-22-000071.txt
TMUS,0001283699,10-Q,2022-07-29,0001283699-22-000117,https://www.sec.gov/Archives/edgar/data/1283699/000128369922000117/0001283699-22-000117.txt
PM,0001413329,10-Q,2022-07-29,0001413329-22-000072,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000072/0001413329-22-000072.txt
V,0001403161,10-Q,2022-07-28,0001403161-22-000058,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000058/0001403161-22-000058.txt
MA,0001141391,10-Q,2022-07-28,0001141391-22-000150,https://www.sec.gov/Archives/edgar/data/1141391/000114139122000150/0001141391-22-000150.txt
GOOGL,0001652044,10-Q,2022-07-27,0001652044-22-000071,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000071/0001652044-22-000071.txt
KO,0000021344,10-Q,2022-07-27,0000021344-22-000034,https://www.sec.gov/Archives/edgar/data/21344/000002134422000034/0000021344-22-000034.txt
GE,0000040545,10-Q,2022-07-26,0000040545-22-000050,https://www.sec.gov/Archives/edgar/data/40545/000004054522000050/0000040545-22-000050.txt
TSLA,0001318605,10-Q,2022-07-25,0000950170-22-012936,https://www.sec.gov/Archives/edgar/data/1318605/000095017022012936/0000950170-22-012936.txt
IBM,0000051143,10-Q,2022-07-25,0001558370-22-010985,https://www.sec.gov/Archives/edgar/data/51143/000155837022010985/0001558370-22-010985.txt
AXP,0000004962,10-Q,2022-07-22,0000004962-22-000041,https://www.sec.gov/Archives/edgar/data/4962/000000496222000041/0000004962-22-000041.txt
NFLX,0001065280,10-Q,2022-07-21,0001065280-22-000257,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000257/0001065280-22-000257.txt
AVGO,0001730168,10-Q,2022-06-09,0001730168-22-000081,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000081/0001730168-22-000081.txt
WMT,0000104169,10-Q,2022-06-03,0000104169-22-000029,https://www.sec.gov/Archives/edgar/data/104169/000010416922000029/0000104169-22-000029.txt
COST,0000909832,10-Q,2022-06-02,0000909832-22-000014,https://www.sec.gov/Archives/edgar/data/909832/000090983222000014/0000909832-22-000014.txt
NVDA,0001045810,10-Q,2022-05-27,0001045810-22-000079,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000079/0001045810-22-000079.txt
